Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Bocc | Row 131
✅ Saved → RBQ | Bocc | Row 132
✅ Saved → RBQ | Bocc | Row 133
✅ Saved → RBQ | Bocc | Row 134
✅ Saved → RBQ | Bocc | Row 135
✅ Saved → RBQ | Bocc | Row 136
✅ Saved → RBQ | Bocc | Row 137
✅ Saved → RBQ | Bocc | Row 138
✅ Saved → RBQ | Bocc | Row 139
✅ Saved → RBQ | Bocc | Row 140
✅ Saved → RBQ | Bocc | Row 141
✅ Saved → RBQ | Bocc | Row 142
✅ Saved → RBQ | Bocc | Row 143
✅ Saved → RBQ | Bocc | Row 144
✅ Saved → RBQ | Bocc | Row 145
✅ Saved → RBQ | Bocc | Row 146
✅ Saved → RBQ | Bocc | Row 147
✅ Saved → RBQ | Bocc | Row 148
✅ Saved → RBQ | Pallone | Row 0
✅ Saved → RBQ | Pallone | Row 1
✅ Saved → RBQ | Pallone | Row 2
✅ Saved → RBQ | Pallone | Row 3
✅ Saved → RBQ | Pallone | Row 4
✅ Saved → RBQ | Pallone | Row 5
✅ Saved → RBQ | Pallone | Row 6
✅ Saved → RBQ | Pallone | Row 7
✅ Saved → RBQ | Pallone | Row 8
✅ Saved → RBQ | Pallone | Row 9
✅ Saved → RBQ | Pallone | Row 10
✅ Saved → RBQ | Pallone | Row 11
✅ Saved → RBQ | Pallone | Row 12
✅ Saved → RBQ | Pallone | Row 13
✅ Saved → RBQ | Pallone | Row 14
✅ Saved → RBQ | Pallone | Row 15
✅ Saved → RBQ | Pallone | Row 16
✅ Saved → RBQ | Pallone | Row 17
✅ Saved → RBQ | Pallone | Row 18
✅ Saved → RBQ | Pallone | Row 19
✅ Saved → RBQ | Pallone | Row 20
✅ Saved → RBQ | Pallone | Row 21
✅ Saved → RBQ | Pallone | Row 22
✅ Saved → RBQ | Pallone | Row 23
✅ Saved → RBQ | Pallone | Row 24
✅ Saved → RBQ | Pallone | Row 25
✅ Saved → RBQ | Pallone | Row 26
✅ Saved → RBQ | Pallone | Row 27
✅ Saved → RBQ | Pallone | Row 28
✅ Saved → RBQ | Pallone | Row 29
✅ Saved → RBQ | Pallone | Row 30
✅ Saved → RBQ | Pallone | Row 31
✅ Saved → RBQ | Pallone | Row 32
✅ Saved → RBQ | Pallone | Row 33
✅ Saved → RBQ | Pallone | Row 34
✅ Saved → RBQ | Pallone | Row 35
✅ Saved → RBQ | Pallone | Row 36
✅ Saved → RBQ | Pallone | Row 37
✅ Saved → RBQ | Pallone | Row 38
✅ Saved → RBQ | Pallone | Row 39
✅ Saved → RBQ | Pallone | Row 40
✅ Saved → RBQ | Pallone | Row 41
