Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Tambourin | Row 124
✅ Saved → RBQ | Tambourin | Row 125
✅ Saved → RBQ | Tambourin | Row 126
✅ Saved → RBQ | Tambourin | Row 127
✅ Saved → RBQ | Tambourin | Row 128
✅ Saved → RBQ | Tambourin | Row 129
✅ Saved → RBQ | Tambourin | Row 130
✅ Saved → RBQ | Tambourin | Row 131
✅ Saved → RBQ | Tambourin | Row 132
✅ Saved → RBQ | Tambourin | Row 133
✅ Saved → RBQ | Tambourin | Row 134
✅ Saved → RBQ | Tambourin | Row 135
✅ Saved → RBQ | Tambourin | Row 136
✅ Saved → RBQ | Tambourin | Row 137
✅ Saved → RBQ | Tambourin | Row 138
✅ Saved → RBQ | Tambourin | Row 139
✅ Saved → RBQ | Tambourin | Row 140
✅ Saved → RBQ | Tambourin | Row 141
✅ Saved → RBQ | Tambourin | Row 142
✅ Saved → RBQ | Tambourin | Row 143
✅ Saved → RBQ | Tambourin | Row 144
✅ Saved → RBQ | Tambourin | Row 145
✅ Saved → RBQ | Tambourin | Row 146
✅ Saved → RBQ | Tambourin | Row 147
✅ Saved → RBQ | Tambourin | Row 148
✅ Saved → RBQ | Tambourin | Row 149
✅ Saved → RBQ | Pelota | Row 0
✅ Saved → RBQ | Pelota | Row 1
✅ Saved → RBQ | Pelota | Row 2
✅ Saved → RBQ | Pelota | Row 3
✅ Saved → RBQ | Pelota | Row 4
✅ Saved → RBQ | Pelota | Row 5
✅ Saved → RBQ | Pelota | Row 6
✅ Saved → RBQ | Pelota | Row 7
✅ Saved → RBQ | Pelota | Row 8
✅ Saved → RBQ | Pelota | Row 9
✅ Saved → RBQ | Pelota | Row 10
✅ Saved → RBQ | Pelota | Row 11
✅ Saved → RBQ | Pelota | Row 12
✅ Saved → RBQ | Pelota | Row 13
✅ Saved → RBQ | Pelota | Row 14
✅ Saved → RBQ | Pelota | Row 15
✅ Saved → RBQ | Pelota | Row 16
✅ Saved → RBQ | Pelota | Row 17
✅ Saved → RBQ | Pelota | Row 18
✅ Saved → RBQ | Pelota | Row 19
✅ Saved → RBQ | Pelota | Row 20
✅ Saved → RBQ | Pelota | Row 21
✅ Saved → RBQ | Pelota | Row 22
✅ Saved → RBQ | Pelota | Row 23
✅ Saved → RBQ | Pelota | Row 24
✅ Saved → RBQ | Pelota | Row 25
✅ Saved → RBQ | Pelota | Row 26
✅ Saved → RBQ | Pelota | Row 27
✅ Saved → RBQ | Pelota | Row 28
✅ Saved → RBQ | Pelota | Row 29
✅ Saved → RBQ | Pelota | Row 30
✅ Saved → RBQ | Pelota | Row 31
✅ Saved → RBQ | Pelota | Row 32
✅ Saved → RBQ | Pelota | Row 33
✅ Saved → RBQ | Pelota | Row 34
✅ Saved → RBQ | Pelota | Row 35
✅ Saved → RBQ | Pelota | Row 36
✅ Saved → RBQ | Pelota | Row 37
✅ Saved → RBQ | Pelota | Row 38
✅ Saved → RBQ | Pelota | Row 40
✅ Saved → RBQ | Pelota | Row 41
✅ Saved → RBQ | Pelota | Row 42
✅ Saved → RBQ | Pelota | Row 43
✅ Saved → RBQ | Pelota | Row 44
✅ Saved → RBQ | Pelota | Row 45
✅ Saved → RBQ | Pelota | Row 46
✅ Saved → RBQ | Pelota | Row 47
✅ Saved → RBQ | Pelota | Row 48
✅ Saved → RBQ | Pelota | Row 49
✅ Saved → RBQ | Pelota | Row 50
✅ Saved → RBQ | Pelota | Row 51
✅ Saved → RBQ | Pelota | Row 52
✅ Saved → RBQ | Pelota | Row 53
✅ Saved → RBQ | Pelota | Row 54
✅ Saved → RBQ | Pelota | Row 55
✅ Saved → RBQ | Pelota | Row 56
✅ Saved → RBQ | Pelota | Row 57
✅ Saved → RBQ | Pelota | Row 58
✅ Saved → RBQ | Pelota | Row 59
✅ Saved → RBQ | Pelota | Row 60
✅ Saved → RBQ | Pelota | Row 61
✅ Saved → RBQ | Pelota | Row 62
✅ Saved → RBQ | Pelota | Row 63
✅ Saved → RBQ | Pelota | Row 64
✅ Saved → RBQ | Pelota | Row 65
✅ Saved → RBQ | Pelota | Row 66
✅ Saved → RBQ | Pelota | Row 67
✅ Saved → RBQ | Pelota | Row 68
✅ Saved → RBQ | Pelota | Row 69
✅ Saved → RBQ | Pelota | Row 70
✅ Saved → RBQ | Pelota | Row 71
✅ Saved → RBQ | Pelota | Row 72
✅ Saved → RBQ | Pelota | Row 73
✅ Saved → RBQ | Pelota | Row 74
✅ Saved → RBQ | Pelota | Row 75
✅ Saved → RBQ | Pelota | Row 76
✅ Saved → RBQ | Pelota | Row 77
✅ Saved → RBQ | Pelota | Row 79
✅ Saved → RBQ | Pelota | Row 80
✅ Saved → RBQ | Pelota | Row 82
✅ Saved → RBQ | Pelota | Row 83
✅ Saved → RBQ | Pelota | Row 84
✅ Saved → RBQ | Pelota | Row 86
✅ Saved → RBQ | Pelota | Row 88
✅ Saved → RBQ | Pelota | Row 89
✅ Saved → RBQ | Pelota | Row 94
✅ Saved → RBQ | Pelota | Row 99
✅ Saved → RBQ | Pelota | Row 106
✅ Saved → RBQ | Pelota | Row 113
✅ Saved → RBQ | Pelota | Row 114
