Started at: 09:48:35
['/DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Nuba_Wrestling | Row 103
✅ Saved → RBQ | Nuba_Wrestling | Row 104
✅ Saved → RBQ | Nuba_Wrestling | Row 105
✅ Saved → RBQ | Nuba_Wrestling | Row 106
✅ Saved → RBQ | Nuba_Wrestling | Row 107
✅ Saved → RBQ | Nuba_Wrestling | Row 108
✅ Saved → RBQ | Nuba_Wrestling | Row 109
✅ Saved → RBQ | Nuba_Wrestling | Row 110
✅ Saved → RBQ | Nuba_Wrestling | Row 111
✅ Saved → RBQ | Nuba_Wrestling | Row 112
✅ Saved → RBQ | Nuba_Wrestling | Row 113
✅ Saved → RBQ | Nuba_Wrestling | Row 114
✅ Saved → RBQ | Nuba_Wrestling | Row 115
✅ Saved → RBQ | Nuba_Wrestling | Row 116
✅ Saved → RBQ | Nuba_Wrestling | Row 117
✅ Saved → RBQ | Nuba_Wrestling | Row 118
✅ Saved → RBQ | Nuba_Wrestling | Row 119
✅ Saved → RBQ | Nuba_Wrestling | Row 120
✅ Saved → RBQ | Nuba_Wrestling | Row 121
✅ Saved → RBQ | Nuba_Wrestling | Row 122
✅ Saved → RBQ | Nuba_Wrestling | Row 123
✅ Saved → RBQ | Nuba_Wrestling | Row 124
✅ Saved → RBQ | Nuba_Wrestling | Row 125
✅ Saved → RBQ | Nuba_Wrestling | Row 126
✅ Saved → RBQ | Nuba_Wrestling | Row 127
✅ Saved → RBQ | Nuba_Wrestling | Row 128
✅ Saved → RBQ | Nuba_Wrestling | Row 129
✅ Saved → RBQ | Nuba_Wrestling | Row 130
✅ Saved → RBQ | Nuba_Wrestling | Row 131
✅ Saved → RBQ | Nuba_Wrestling | Row 132
✅ Saved → RBQ | Nuba_Wrestling | Row 133
✅ Saved → RBQ | Nuba_Wrestling | Row 134
✅ Saved → RBQ | Nuba_Wrestling | Row 135
✅ Saved → RBQ | Nuba_Wrestling | Row 136
✅ Saved → RBQ | Nuba_Wrestling | Row 137
✅ Saved → RBQ | Nuba_Wrestling | Row 138
✅ Saved → RBQ | Nuba_Wrestling | Row 139
✅ Saved → RBQ | Nuba_Wrestling | Row 140
