Started at: 21:02:55
SBQ

📌 Processing: /DATA/rohan_kirti/country/ethopia/SBQ/Ethopia_SBQ.xlsx
Genna
✅ Saved → SBQ | Yeferas Guks | Row 131
✅ Saved → SBQ | Yeferas Guks | Row 132
✅ Saved → SBQ | Yeferas Guks | Row 133
✅ Saved → SBQ | Yeferas Guks | Row 134
✅ Saved → SBQ | Yeferas Guks | Row 135
✅ Saved → SBQ | Yeferas Guks | Row 136
✅ Saved → SBQ | Yeferas Guks | Row 137
✅ Saved → SBQ | Yeferas Guks | Row 138
✅ Saved → SBQ | Yeferas Guks | Row 139
✅ Saved → SBQ | Yeferas Guks | Row 140
✅ Saved → SBQ | Yeferas Guks | Row 141
✅ Saved → SBQ | Yeferas Guks | Row 142
✅ Saved → SBQ | Yeferas Guks | Row 143
✅ Saved → SBQ | Yeferas Guks | Row 144
✅ Saved → SBQ | Yeferas Guks | Row 145
✅ Saved → SBQ | Yeferas Guks | Row 146
✅ Saved → SBQ | Yeferas Guks | Row 147
✅ Saved → SBQ | Yeferas Guks | Row 148
✅ Saved → SBQ | Yeferas Guks | Row 149
✅ Saved → SBQ | Yeferas Guks | Row 150
✅ Saved → SBQ | Yeferas Guks | Row 151
✅ Saved → SBQ | Yeferas Guks | Row 152
✅ Saved → SBQ | Yeferas Guks | Row 154
✅ Saved → SBQ | Yeferas Guks | Row 156
✅ Saved → SBQ | Yeferas Guks | Row 157
✅ Saved → SBQ | Yeferas Guks | Row 158
✅ Saved → SBQ | Yeferas Guks | Row 159
✅ Saved → SBQ | Yeferas Guks | Row 160
✅ Saved → SBQ | Yeferas Guks | Row 161
✅ Saved → SBQ | Yeferas Guks | Row 163
✅ Saved → SBQ | Yeferas Guks | Row 164
✅ Saved → SBQ | Yeferas Guks | Row 165
✅ Saved → SBQ | Yeferas Guks | Row 166
✅ Saved → SBQ | Yeferas Guks | Row 167
✅ Saved → SBQ | Yeferas Guks | Row 168
✅ Saved → SBQ | Yeferas Guks | Row 169
Traditional Running
✅ Saved → SBQ | Traditional Running | Row 0
✅ Saved → SBQ | Traditional Running | Row 1
✅ Saved → SBQ | Traditional Running | Row 2
✅ Saved → SBQ | Traditional Running | Row 3
✅ Saved → SBQ | Traditional Running | Row 4
✅ Saved → SBQ | Traditional Running | Row 5
✅ Saved → SBQ | Traditional Running | Row 6
✅ Saved → SBQ | Traditional Running | Row 7
✅ Saved → SBQ | Traditional Running | Row 8
✅ Saved → SBQ | Traditional Running | Row 9
✅ Saved → SBQ | Traditional Running | Row 10
✅ Saved → SBQ | Traditional Running | Row 11
✅ Saved → SBQ | Traditional Running | Row 12
✅ Saved → SBQ | Traditional Running | Row 13
✅ Saved → SBQ | Traditional Running | Row 14
✅ Saved → SBQ | Traditional Running | Row 15
✅ Saved → SBQ | Traditional Running | Row 16
✅ Saved → SBQ | Traditional Running | Row 17
✅ Saved → SBQ | Traditional Running | Row 18
✅ Saved → SBQ | Traditional Running | Row 19
✅ Saved → SBQ | Traditional Running | Row 20
✅ Saved → SBQ | Traditional Running | Row 21
✅ Saved → SBQ | Traditional Running | Row 22
✅ Saved → SBQ | Traditional Running | Row 23
✅ Saved → SBQ | Traditional Running | Row 24
✅ Saved → SBQ | Traditional Running | Row 25
