Started at: 20:28:35
SBQ

📌 Processing: /DATA/rohan_kirti/country/thailand/SBQ/Thailand_SBQ.xlsx
chon wua
✅ Saved → SBQ | kaeng ruer | Row 96
✅ Saved → SBQ | kaeng ruer | Row 97
✅ Saved → SBQ | kaeng ruer | Row 98
✅ Saved → SBQ | kaeng ruer | Row 99
✅ Saved → SBQ | kaeng ruer | Row 100
✅ Saved → SBQ | kaeng ruer | Row 101
✅ Saved → SBQ | kaeng ruer | Row 102
✅ Saved → SBQ | kaeng ruer | Row 103
✅ Saved → SBQ | kaeng ruer | Row 104
✅ Saved → SBQ | kaeng ruer | Row 105
✅ Saved → SBQ | kaeng ruer | Row 106
✅ Saved → SBQ | kaeng ruer | Row 107
✅ Saved → SBQ | kaeng ruer | Row 108
✅ Saved → SBQ | kaeng ruer | Row 109
✅ Saved → SBQ | kaeng ruer | Row 110
✅ Saved → SBQ | kaeng ruer | Row 112
✅ Saved → SBQ | kaeng ruer | Row 113
✅ Saved → SBQ | kaeng ruer | Row 114
✅ Saved → SBQ | kaeng ruer | Row 115
✅ Saved → SBQ | kaeng ruer | Row 116
✅ Saved → SBQ | kaeng ruer | Row 117
✅ Saved → SBQ | kaeng ruer | Row 118
✅ Saved → SBQ | kaeng ruer | Row 119
✅ Saved → SBQ | kaeng ruer | Row 120
✅ Saved → SBQ | kaeng ruer | Row 121
✅ Saved → SBQ | kaeng ruer | Row 122
✅ Saved → SBQ | kaeng ruer | Row 123
✅ Saved → SBQ | kaeng ruer | Row 124
✅ Saved → SBQ | kaeng ruer | Row 125
✅ Saved → SBQ | kaeng ruer | Row 126
✅ Saved → SBQ | kaeng ruer | Row 127
✅ Saved → SBQ | kaeng ruer | Row 128
✅ Saved → SBQ | kaeng ruer | Row 129
✅ Saved → SBQ | kaeng ruer | Row 131
✅ Saved → SBQ | kaeng ruer | Row 133
✅ Saved → SBQ | kaeng ruer | Row 135
✅ Saved → SBQ | kaeng ruer | Row 136
✅ Saved → SBQ | kaeng ruer | Row 137
✅ Saved → SBQ | kaeng ruer | Row 138
✅ Saved → SBQ | kaeng ruer | Row 139
✅ Saved → SBQ | kaeng ruer | Row 140
✅ Saved → SBQ | kaeng ruer | Row 141
✅ Saved → SBQ | kaeng ruer | Row 142
✅ Saved → SBQ | kaeng ruer | Row 143
✅ Saved → SBQ | kaeng ruer | Row 144
✅ Saved → SBQ | kaeng ruer | Row 145
✅ Saved → SBQ | kaeng ruer | Row 146
✅ Saved → SBQ | kaeng ruer | Row 147
✅ Saved → SBQ | kaeng ruer | Row 149
✅ Saved → SBQ | kaeng ruer | Row 151
✅ Saved → SBQ | kaeng ruer | Row 152
✅ Saved → SBQ | kaeng ruer | Row 153
✅ Saved → SBQ | kaeng ruer | Row 154
✅ Saved → SBQ | kaeng ruer | Row 155
✅ Saved → SBQ | kaeng ruer | Row 156
✅ Saved → SBQ | kaeng ruer | Row 157
✅ Saved → SBQ | kaeng ruer | Row 158
✅ Saved → SBQ | kaeng ruer | Row 159
✅ Saved → SBQ | kaeng ruer | Row 160
✅ Saved → SBQ | kaeng ruer | Row 161
✅ Saved → SBQ | kaeng ruer | Row 162
✅ Saved → SBQ | kaeng ruer | Row 163
✅ Saved → SBQ | kaeng ruer | Row 164
✅ Saved → SBQ | kaeng ruer | Row 165
✅ Saved → SBQ | kaeng ruer | Row 166
✅ Saved → SBQ | kaeng ruer | Row 167
✅ Saved → SBQ | kaeng ruer | Row 168
✅ Saved → SBQ | kaeng ruer | Row 169
✅ Saved → SBQ | kaeng ruer | Row 170
✅ Saved → SBQ | kaeng ruer | Row 171
✅ Saved → SBQ | kaeng ruer | Row 172
✅ Saved → SBQ | kaeng ruer | Row 173
✅ Saved → SBQ | kaeng ruer | Row 174
✅ Saved → SBQ | kaeng ruer | Row 175
✅ Saved → SBQ | kaeng ruer | Row 176
✅ Saved → SBQ | kaeng ruer | Row 177
✅ Saved → SBQ | kaeng ruer | Row 178
✅ Saved → SBQ | kaeng ruer | Row 180
✅ Saved → SBQ | kaeng ruer | Row 181
✅ Saved → SBQ | kaeng ruer | Row 182
✅ Saved → SBQ | kaeng ruer | Row 183
✅ Saved → SBQ | kaeng ruer | Row 184
✅ Saved → SBQ | kaeng ruer | Row 186
✅ Saved → SBQ | kaeng ruer | Row 187
✅ Saved → SBQ | kaeng ruer | Row 188
✅ Saved → SBQ | kaeng ruer | Row 189
✅ Saved → SBQ | kaeng ruer | Row 190
✅ Saved → SBQ | kaeng ruer | Row 191
✅ Saved → SBQ | kaeng ruer | Row 192
✅ Saved → SBQ | kaeng ruer | Row 193
✅ Saved → SBQ | kaeng ruer | Row 194
✅ Saved → SBQ | kaeng ruer | Row 195
✅ Saved → SBQ | kaeng ruer | Row 196
✅ Saved → SBQ | kaeng ruer | Row 207
✅ Saved → SBQ | kaeng ruer | Row 208
✅ Saved → SBQ | kaeng ruer | Row 209
✅ Saved → SBQ | kaeng ruer | Row 210
✅ Saved → SBQ | kaeng ruer | Row 211
✅ Saved → SBQ | kaeng ruer | Row 212
✅ Saved → SBQ | kaeng ruer | Row 213
✅ Saved → SBQ | kaeng ruer | Row 214
✅ Saved → SBQ | kaeng ruer | Row 215
✅ Saved → SBQ | kaeng ruer | Row 217
✅ Saved → SBQ | kaeng ruer | Row 218
✅ Saved → SBQ | kaeng ruer | Row 219
✅ Saved → SBQ | kaeng ruer | Row 227
✅ Saved → SBQ | kaeng ruer | Row 228
✅ Saved → SBQ | kaeng ruer | Row 234
✅ Saved → SBQ | kaeng ruer | Row 258
