Started at: 09:41:34
['/DATA/rohan_kirti/country/china/RBQ/China_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/china/RBQ/China_RBQ.xlsx
✅ Saved → RBQ | jianzi | Row 32
✅ Saved → RBQ | jianzi | Row 33
✅ Saved → RBQ | jianzi | Row 34
✅ Saved → RBQ | jianzi | Row 35
✅ Saved → RBQ | jianzi | Row 36
✅ Saved → RBQ | jianzi | Row 37
✅ Saved → RBQ | jianzi | Row 38
✅ Saved → RBQ | jianzi | Row 39
✅ Saved → RBQ | jianzi | Row 40
✅ Saved → RBQ | jianzi | Row 41
✅ Saved → RBQ | jianzi | Row 42
✅ Saved → RBQ | jianzi | Row 43
✅ Saved → RBQ | jianzi | Row 44
✅ Saved → RBQ | jianzi | Row 45
✅ Saved → RBQ | jianzi | Row 46
✅ Saved → RBQ | jianzi | Row 47
✅ Saved → RBQ | jianzi | Row 48
✅ Saved → RBQ | jianzi | Row 49
✅ Saved → RBQ | jianzi | Row 50
✅ Saved → RBQ | jianzi | Row 51
✅ Saved → RBQ | jianzi | Row 52
✅ Saved → RBQ | jianzi | Row 53
✅ Saved → RBQ | jianzi | Row 54
✅ Saved → RBQ | jianzi | Row 55
✅ Saved → RBQ | jianzi | Row 56
✅ Saved → RBQ | jianzi | Row 57
✅ Saved → RBQ | jianzi | Row 59
✅ Saved → RBQ | jianzi | Row 60
✅ Saved → RBQ | jianzi | Row 61
✅ Saved → RBQ | jianzi | Row 62
✅ Saved → RBQ | jianzi | Row 63
✅ Saved → RBQ | jianzi | Row 64
✅ Saved → RBQ | jianzi | Row 65
✅ Saved → RBQ | jianzi | Row 66
✅ Saved → RBQ | jianzi | Row 67
✅ Saved → RBQ | jianzi | Row 69
✅ Saved → RBQ | jianzi | Row 70
✅ Saved → RBQ | jianzi | Row 71
✅ Saved → RBQ | jianzi | Row 72
✅ Saved → RBQ | jianzi | Row 73
✅ Saved → RBQ | jianzi | Row 74
✅ Saved → RBQ | jianzi | Row 75
✅ Saved → RBQ | jianzi | Row 76
✅ Saved → RBQ | jianzi | Row 77
✅ Saved → RBQ | jianzi | Row 78
✅ Saved → RBQ | jianzi | Row 79
✅ Saved → RBQ | jianzi | Row 80
✅ Saved → RBQ | jianzi | Row 81
✅ Saved → RBQ | jianzi | Row 82
✅ Saved → RBQ | jianzi | Row 83
✅ Saved → RBQ | jianzi | Row 84
✅ Saved → RBQ | jianzi | Row 85
✅ Saved → RBQ | jianzi | Row 86
✅ Saved → RBQ | jianzi | Row 87
✅ Saved → RBQ | jianzi | Row 88
✅ Saved → RBQ | jianzi | Row 89
✅ Saved → RBQ | jianzi | Row 90
✅ Saved → RBQ | jianzi | Row 91
✅ Saved → RBQ | jianzi | Row 92
✅ Saved → RBQ | jianzi | Row 93
✅ Saved → RBQ | jianzi | Row 94
✅ Saved → RBQ | jianzi | Row 95
✅ Saved → RBQ | jianzi | Row 96
✅ Saved → RBQ | jianzi | Row 97
✅ Saved → RBQ | jianzi | Row 98
✅ Saved → RBQ | jianzi | Row 99
✅ Saved → RBQ | jianzi | Row 100
✅ Saved → RBQ | jianzi | Row 101
✅ Saved → RBQ | jianzi | Row 102
✅ Saved → RBQ | jianzi | Row 103
✅ Saved → RBQ | jianzi | Row 104
✅ Saved → RBQ | jianzi | Row 105
✅ Saved → RBQ | jianzi | Row 106
✅ Saved → RBQ | jianzi | Row 107
✅ Saved → RBQ | jianzi | Row 108
✅ Saved → RBQ | jianzi | Row 109
✅ Saved → RBQ | jianzi | Row 110
✅ Saved → RBQ | jianzi | Row 111
✅ Saved → RBQ | jianzi | Row 112
✅ Saved → RBQ | jianzi | Row 113
✅ Saved → RBQ | jianzi | Row 114
✅ Saved → RBQ | jianzi | Row 115
✅ Saved → RBQ | jianzi | Row 116
✅ Saved → RBQ | jianzi | Row 117
✅ Saved → RBQ | jianzi | Row 118
✅ Saved → RBQ | jianzi | Row 119
✅ Saved → RBQ | jianzi | Row 120
✅ Saved → RBQ | jianzi | Row 121
✅ Saved → RBQ | jianzi | Row 122
✅ Saved → RBQ | jianzi | Row 123
✅ Saved → RBQ | jianzi | Row 124
✅ Saved → RBQ | jianzi | Row 125
✅ Saved → RBQ | jianzi | Row 126
✅ Saved → RBQ | jianzi | Row 127
✅ Saved → RBQ | jianzi | Row 128
✅ Saved → RBQ | jianzi | Row 129
✅ Saved → RBQ | jianzi | Row 130
✅ Saved → RBQ | jianzi | Row 131
✅ Saved → RBQ | jianzi | Row 132
✅ Saved → RBQ | jianzi | Row 133
✅ Saved → RBQ | jianzi | Row 134
✅ Saved → RBQ | jianzi | Row 135
✅ Saved → RBQ | kung fu | Row 0
✅ Saved → RBQ | kung fu | Row 1
✅ Saved → RBQ | kung fu | Row 2
✅ Saved → RBQ | kung fu | Row 3
✅ Saved → RBQ | kung fu | Row 4
✅ Saved → RBQ | kung fu | Row 5
✅ Saved → RBQ | kung fu | Row 6
✅ Saved → RBQ | kung fu | Row 7
✅ Saved → RBQ | kung fu | Row 8
✅ Saved → RBQ | kung fu | Row 9
✅ Saved → RBQ | kung fu | Row 10
✅ Saved → RBQ | kung fu | Row 11
✅ Saved → RBQ | kung fu | Row 12
✅ Saved → RBQ | kung fu | Row 13
✅ Saved → RBQ | kung fu | Row 14
✅ Saved → RBQ | kung fu | Row 15
✅ Saved → RBQ | kung fu | Row 16
✅ Saved → RBQ | kung fu | Row 17
✅ Saved → RBQ | kung fu | Row 18
✅ Saved → RBQ | kung fu | Row 19
✅ Saved → RBQ | kung fu | Row 20
✅ Saved → RBQ | kung fu | Row 21
✅ Saved → RBQ | kung fu | Row 22
✅ Saved → RBQ | kung fu | Row 23
✅ Saved → RBQ | kung fu | Row 24
✅ Saved → RBQ | kung fu | Row 25
✅ Saved → RBQ | kung fu | Row 26
✅ Saved → RBQ | kung fu | Row 27
✅ Saved → RBQ | kung fu | Row 28
✅ Saved → RBQ | kung fu | Row 29
✅ Saved → RBQ | kung fu | Row 30
✅ Saved → RBQ | kung fu | Row 31
✅ Saved → RBQ | kung fu | Row 32
✅ Saved → RBQ | kung fu | Row 33
✅ Saved → RBQ | kung fu | Row 34
✅ Saved → RBQ | kung fu | Row 35
✅ Saved → RBQ | kung fu | Row 36
✅ Saved → RBQ | kung fu | Row 37
✅ Saved → RBQ | kung fu | Row 38
✅ Saved → RBQ | kung fu | Row 39
✅ Saved → RBQ | kung fu | Row 40
✅ Saved → RBQ | kung fu | Row 41
✅ Saved → RBQ | kung fu | Row 42
✅ Saved → RBQ | kung fu | Row 43
✅ Saved → RBQ | kung fu | Row 44
✅ Saved → RBQ | kung fu | Row 45
✅ Saved → RBQ | kung fu | Row 46
✅ Saved → RBQ | kung fu | Row 47
✅ Saved → RBQ | kung fu | Row 48
✅ Saved → RBQ | kung fu | Row 49
✅ Saved → RBQ | kung fu | Row 50
✅ Saved → RBQ | kung fu | Row 51
✅ Saved → RBQ | kung fu | Row 52
✅ Saved → RBQ | kung fu | Row 53
✅ Saved → RBQ | kung fu | Row 54
✅ Saved → RBQ | kung fu | Row 55
✅ Saved → RBQ | kung fu | Row 56
✅ Saved → RBQ | kung fu | Row 57
✅ Saved → RBQ | kung fu | Row 58
✅ Saved → RBQ | kung fu | Row 59
✅ Saved → RBQ | kung fu | Row 60
✅ Saved → RBQ | kung fu | Row 61
✅ Saved → RBQ | kung fu | Row 62
✅ Saved → RBQ | kung fu | Row 63
✅ Saved → RBQ | kung fu | Row 64
✅ Saved → RBQ | kung fu | Row 65
✅ Saved → RBQ | kung fu | Row 66
✅ Saved → RBQ | kung fu | Row 67
✅ Saved → RBQ | kung fu | Row 68
✅ Saved → RBQ | kung fu | Row 69
✅ Saved → RBQ | kung fu | Row 70
✅ Saved → RBQ | kung fu | Row 71
✅ Saved → RBQ | kung fu | Row 72
✅ Saved → RBQ | kung fu | Row 73
