Started at: 10:34:43

📌 Processing: /DATA/rohan_kirti/country/Bengali/SBQ/Bangladesh_SBQ.xlsx
✅ Saved → SBQ | ha du du | Row 55
✅ Saved → SBQ | ha du du | Row 56
✅ Saved → SBQ | ha du du | Row 57
✅ Saved → SBQ | ha du du | Row 58
✅ Saved → SBQ | ha du du | Row 60
✅ Saved → SBQ | ha du du | Row 61
✅ Saved → SBQ | ha du du | Row 62
✅ Saved → SBQ | ha du du | Row 63
✅ Saved → SBQ | ha du du | Row 64
✅ Saved → SBQ | ha du du | Row 65
✅ Saved → SBQ | ha du du | Row 66
✅ Saved → SBQ | ha du du | Row 67
✅ Saved → SBQ | ha du du | Row 68
✅ Saved → SBQ | ha du du | Row 69
✅ Saved → SBQ | ha du du | Row 70
✅ Saved → SBQ | ha du du | Row 71
✅ Saved → SBQ | ha du du | Row 72
✅ Saved → SBQ | ha du du | Row 73
✅ Saved → SBQ | ha du du | Row 74
✅ Saved → SBQ | ha du du | Row 75
✅ Saved → SBQ | ha du du | Row 76
✅ Saved → SBQ | ha du du | Row 77
✅ Saved → SBQ | ha du du | Row 78
✅ Saved → SBQ | ha du du | Row 79
✅ Saved → SBQ | ha du du | Row 80
✅ Saved → SBQ | ha du du | Row 81
✅ Saved → SBQ | ha du du | Row 82
✅ Saved → SBQ | ha du du | Row 83
✅ Saved → SBQ | ha du du | Row 84
✅ Saved → SBQ | ha du du | Row 85
✅ Saved → SBQ | ha du du | Row 86
✅ Saved → SBQ | ha du du | Row 87
✅ Saved → SBQ | ha du du | Row 88
✅ Saved → SBQ | ha du du | Row 89
✅ Saved → SBQ | ha du du | Row 90
✅ Saved → SBQ | ha du du | Row 91
✅ Saved → SBQ | ha du du | Row 92
✅ Saved → SBQ | ha du du | Row 93
✅ Saved → SBQ | ha du du | Row 94
✅ Saved → SBQ | ha du du | Row 95
✅ Saved → SBQ | ha du du | Row 96
✅ Saved → SBQ | ha du du | Row 97
✅ Saved → SBQ | ha du du | Row 98
✅ Saved → SBQ | ha du du | Row 99
✅ Saved → SBQ | ha du du | Row 100
✅ Saved → SBQ | ha du du | Row 102
✅ Saved → SBQ | ha du du | Row 103
✅ Saved → SBQ | ha du du | Row 104
✅ Saved → SBQ | ha du du | Row 105
✅ Saved → SBQ | ha du du | Row 106
✅ Saved → SBQ | ha du du | Row 107
✅ Saved → SBQ | ha du du | Row 108
✅ Saved → SBQ | ha du du | Row 109
✅ Saved → SBQ | ha du du | Row 114
✅ Saved → SBQ | lathi khela | Row 0
✅ Saved → SBQ | lathi khela | Row 1
✅ Saved → SBQ | lathi khela | Row 2
✅ Saved → SBQ | lathi khela | Row 3
✅ Saved → SBQ | lathi khela | Row 4
✅ Saved → SBQ | lathi khela | Row 5
✅ Saved → SBQ | lathi khela | Row 6
✅ Saved → SBQ | lathi khela | Row 7
✅ Saved → SBQ | lathi khela | Row 8
✅ Saved → SBQ | lathi khela | Row 9
✅ Saved → SBQ | lathi khela | Row 10
✅ Saved → SBQ | lathi khela | Row 11
✅ Saved → SBQ | lathi khela | Row 12
✅ Saved → SBQ | lathi khela | Row 13
✅ Saved → SBQ | lathi khela | Row 14
✅ Saved → SBQ | lathi khela | Row 15
✅ Saved → SBQ | lathi khela | Row 16
✅ Saved → SBQ | lathi khela | Row 17
✅ Saved → SBQ | lathi khela | Row 18
✅ Saved → SBQ | lathi khela | Row 19
✅ Saved → SBQ | lathi khela | Row 20
✅ Saved → SBQ | lathi khela | Row 21
✅ Saved → SBQ | lathi khela | Row 22
✅ Saved → SBQ | lathi khela | Row 23
✅ Saved → SBQ | lathi khela | Row 24
✅ Saved → SBQ | lathi khela | Row 25
✅ Saved → SBQ | lathi khela | Row 26
✅ Saved → SBQ | lathi khela | Row 27
✅ Saved → SBQ | lathi khela | Row 28
✅ Saved → SBQ | lathi khela | Row 29
✅ Saved → SBQ | lathi khela | Row 30
✅ Saved → SBQ | lathi khela | Row 31
✅ Saved → SBQ | lathi khela | Row 32
✅ Saved → SBQ | lathi khela | Row 33
✅ Saved → SBQ | lathi khela | Row 34
✅ Saved → SBQ | lathi khela | Row 35
✅ Saved → SBQ | lathi khela | Row 36
✅ Saved → SBQ | lathi khela | Row 37
✅ Saved → SBQ | lathi khela | Row 38
✅ Saved → SBQ | lathi khela | Row 39
✅ Saved → SBQ | lathi khela | Row 40
✅ Saved → SBQ | lathi khela | Row 41
✅ Saved → SBQ | lathi khela | Row 42
✅ Saved → SBQ | lathi khela | Row 43
✅ Saved → SBQ | lathi khela | Row 44
✅ Saved → SBQ | lathi khela | Row 45
✅ Saved → SBQ | lathi khela | Row 46
✅ Saved → SBQ | lathi khela | Row 47
✅ Saved → SBQ | lathi khela | Row 48
✅ Saved → SBQ | lathi khela | Row 49
✅ Saved → SBQ | lathi khela | Row 50
✅ Saved → SBQ | lathi khela | Row 51
✅ Saved → SBQ | lathi khela | Row 52
✅ Saved → SBQ | lathi khela | Row 53
✅ Saved → SBQ | lathi khela | Row 54
✅ Saved → SBQ | lathi khela | Row 55
✅ Saved → SBQ | lathi khela | Row 56
✅ Saved → SBQ | lathi khela | Row 57
✅ Saved → SBQ | lathi khela | Row 58
✅ Saved → SBQ | lathi khela | Row 59
✅ Saved → SBQ | lathi khela | Row 60
✅ Saved → SBQ | lathi khela | Row 61
✅ Saved → SBQ | lathi khela | Row 62
✅ Saved → SBQ | lathi khela | Row 63
✅ Saved → SBQ | lathi khela | Row 64
✅ Saved → SBQ | lathi khela | Row 65
✅ Saved → SBQ | lathi khela | Row 66
✅ Saved → SBQ | lathi khela | Row 67
✅ Saved → SBQ | lathi khela | Row 68
✅ Saved → SBQ | lathi khela | Row 69
✅ Saved → SBQ | lathi khela | Row 70
✅ Saved → SBQ | lathi khela | Row 71
✅ Saved → SBQ | lathi khela | Row 72
✅ Saved → SBQ | lathi khela | Row 73
✅ Saved → SBQ | lathi khela | Row 74
✅ Saved → SBQ | lathi khela | Row 75
✅ Saved → SBQ | lathi khela | Row 76
✅ Saved → SBQ | lathi khela | Row 77
✅ Saved → SBQ | lathi khela | Row 78
✅ Saved → SBQ | lathi khela | Row 79
✅ Saved → SBQ | lathi khela | Row 80
✅ Saved → SBQ | lathi khela | Row 81
✅ Saved → SBQ | lathi khela | Row 82
✅ Saved → SBQ | lathi khela | Row 83
✅ Saved → SBQ | lathi khela | Row 84
✅ Saved → SBQ | lathi khela | Row 85
✅ Saved → SBQ | lathi khela | Row 86
✅ Saved → SBQ | lathi khela | Row 87
✅ Saved → SBQ | lathi khela | Row 88
✅ Saved → SBQ | lathi khela | Row 89
✅ Saved → SBQ | lathi khela | Row 90
✅ Saved → SBQ | lathi khela | Row 91
✅ Saved → SBQ | lathi khela | Row 92
✅ Saved → SBQ | lathi khela | Row 93
✅ Saved → SBQ | lathi khela | Row 94
✅ Saved → SBQ | lathi khela | Row 95
✅ Saved → SBQ | lathi khela | Row 96
✅ Saved → SBQ | lathi khela | Row 97
✅ Saved → SBQ | lathi khela | Row 98
✅ Saved → SBQ | lathi khela | Row 99
✅ Saved → SBQ | lathi khela | Row 100
✅ Saved → SBQ | lathi khela | Row 101
✅ Saved → SBQ | lathi khela | Row 102
✅ Saved → SBQ | lathi khela | Row 103
✅ Saved → SBQ | lathi khela | Row 104
✅ Saved → SBQ | lathi khela | Row 105
✅ Saved → SBQ | lathi khela | Row 106
✅ Saved → SBQ | lathi khela | Row 107
✅ Saved → SBQ | lathi khela | Row 108
✅ Saved → SBQ | lathi khela | Row 109
✅ Saved → SBQ | lathi khela | Row 110
✅ Saved → SBQ | lathi khela | Row 111
✅ Saved → SBQ | lathi khela | Row 112
✅ Saved → SBQ | lathi khela | Row 113
✅ Saved → SBQ | lathi khela | Row 114
✅ Saved → SBQ | lathi khela | Row 115
✅ Saved → SBQ | lathi khela | Row 116
