Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Traditional Running | Row 43
✅ Saved → RBQ | Traditional Running | Row 44
✅ Saved → RBQ | Traditional Running | Row 45
✅ Saved → RBQ | Traditional Running | Row 46
✅ Saved → RBQ | Traditional Running | Row 47
✅ Saved → RBQ | Traditional Running | Row 48
✅ Saved → RBQ | Traditional Running | Row 49
✅ Saved → RBQ | Traditional Running | Row 50
✅ Saved → RBQ | Traditional Running | Row 51
✅ Saved → RBQ | Traditional Running | Row 52
✅ Saved → RBQ | Traditional Running | Row 53
✅ Saved → RBQ | Traditional Running | Row 54
✅ Saved → RBQ | Traditional Running | Row 55
✅ Saved → RBQ | Traditional Running | Row 56
✅ Saved → RBQ | Traditional Running | Row 57
✅ Saved → RBQ | Traditional Running | Row 58
✅ Saved → RBQ | Traditional Running | Row 59
✅ Saved → RBQ | Traditional Running | Row 60
✅ Saved → RBQ | Traditional Running | Row 61
✅ Saved → RBQ | Traditional Running | Row 62
✅ Saved → RBQ | Traditional Running | Row 63
✅ Saved → RBQ | Traditional Running | Row 64
✅ Saved → RBQ | Traditional Running | Row 65
✅ Saved → RBQ | Traditional Running | Row 66
✅ Saved → RBQ | Traditional Running | Row 67
✅ Saved → RBQ | Traditional Running | Row 68
✅ Saved → RBQ | Traditional Running | Row 69
✅ Saved → RBQ | Traditional Running | Row 70
✅ Saved → RBQ | Traditional Running | Row 71
✅ Saved → RBQ | Traditional Running | Row 72
✅ Saved → RBQ | Traditional Running | Row 73
✅ Saved → RBQ | Traditional Running | Row 74
✅ Saved → RBQ | Traditional Running | Row 75
✅ Saved → RBQ | Traditional Running | Row 76
✅ Saved → RBQ | Traditional Running | Row 77
✅ Saved → RBQ | Traditional Running | Row 78
✅ Saved → RBQ | Traditional Running | Row 79
✅ Saved → RBQ | Traditional Running | Row 80
✅ Saved → RBQ | Traditional Running | Row 81
✅ Saved → RBQ | Traditional Running | Row 82
✅ Saved → RBQ | Traditional Running | Row 83
✅ Saved → RBQ | Traditional Running | Row 84
✅ Saved → RBQ | Traditional Running | Row 85
✅ Saved → RBQ | Traditional Running | Row 86
✅ Saved → RBQ | Traditional Running | Row 87
✅ Saved → RBQ | Traditional Running | Row 88
✅ Saved → RBQ | Traditional Running | Row 89
✅ Saved → RBQ | Traditional Running | Row 90
✅ Saved → RBQ | Traditional Running | Row 91
✅ Saved → RBQ | Traditional Running | Row 92
✅ Saved → RBQ | Traditional Running | Row 93
✅ Saved → RBQ | Traditional Running | Row 94
✅ Saved → RBQ | Traditional Running | Row 95
✅ Saved → RBQ | Traditional Running | Row 96
✅ Saved → RBQ | Traditional Running | Row 97
✅ Saved → RBQ | Traditional Running | Row 98
✅ Saved → RBQ | Traditional Running | Row 99
✅ Saved → RBQ | Traditional Running | Row 100
✅ Saved → RBQ | Traditional Running | Row 101
✅ Saved → RBQ | Traditional Running | Row 102
✅ Saved → RBQ | Traditional Running | Row 103
✅ Saved → RBQ | Traditional Running | Row 104
✅ Saved → RBQ | Traditional Running | Row 105
✅ Saved → RBQ | Traditional Running | Row 106
✅ Saved → RBQ | Traditional Running | Row 107
✅ Saved → RBQ | Traditional Running | Row 108
✅ Saved → RBQ | Traditional Running | Row 109
✅ Saved → RBQ | Traditional Running | Row 110
✅ Saved → RBQ | Traditional Running | Row 111
✅ Saved → RBQ | Traditional Running | Row 112
✅ Saved → RBQ | Traditional Running | Row 113
✅ Saved → RBQ | Traditional Running | Row 114
✅ Saved → RBQ | Traditional Running | Row 115
✅ Saved → RBQ | Traditional Running | Row 116
✅ Saved → RBQ | Traditional Running | Row 117
✅ Saved → RBQ | Traditional Running | Row 118
✅ Saved → RBQ | Traditional Running | Row 119
✅ Saved → RBQ | Traditional Running | Row 120
✅ Saved → RBQ | Traditional Running | Row 121
✅ Saved → RBQ | Traditional Running | Row 122
✅ Saved → RBQ | Traditional Running | Row 123
✅ Saved → RBQ | Traditional Running | Row 124
✅ Saved → RBQ | Traditional Running | Row 125
✅ Saved → RBQ | Traditional Running | Row 126
✅ Saved → RBQ | Traditional Running | Row 127
