Started at: 09:23:12

📌 Processing: /DATA/rohan_kirti/country/germany/HBQ/HBQ_Germany.xlsx
✅ Saved → HBQ | Bosseln | Row 175
✅ Saved → HBQ | Bosseln | Row 176
✅ Saved → HBQ | Bosseln | Row 177
✅ Saved → HBQ | Bosseln | Row 178
✅ Saved → HBQ | Bosseln | Row 179
✅ Saved → HBQ | Bosseln | Row 180
✅ Saved → HBQ | Bosseln | Row 181
✅ Saved → HBQ | Bosseln | Row 182
✅ Saved → HBQ | Bosseln | Row 183
✅ Saved → HBQ | Bosseln | Row 184
✅ Saved → HBQ | Bosseln | Row 185
✅ Saved → HBQ | Bosseln | Row 186
✅ Saved → HBQ | skat | Row 0
✅ Saved → HBQ | skat | Row 1
✅ Saved → HBQ | skat | Row 2
✅ Saved → HBQ | skat | Row 3
✅ Saved → HBQ | skat | Row 4
✅ Saved → HBQ | skat | Row 5
✅ Saved → HBQ | skat | Row 6
✅ Saved → HBQ | skat | Row 7
✅ Saved → HBQ | skat | Row 8
✅ Saved → HBQ | skat | Row 9
✅ Saved → HBQ | skat | Row 10
✅ Saved → HBQ | skat | Row 11
✅ Saved → HBQ | skat | Row 12
✅ Saved → HBQ | skat | Row 13
✅ Saved → HBQ | skat | Row 14
✅ Saved → HBQ | skat | Row 15
✅ Saved → HBQ | skat | Row 16
✅ Saved → HBQ | skat | Row 17
✅ Saved → HBQ | skat | Row 18
✅ Saved → HBQ | skat | Row 19
✅ Saved → HBQ | skat | Row 20
✅ Saved → HBQ | skat | Row 21
✅ Saved → HBQ | skat | Row 22
✅ Saved → HBQ | skat | Row 23
✅ Saved → HBQ | skat | Row 24
✅ Saved → HBQ | skat | Row 25
✅ Saved → HBQ | skat | Row 26
✅ Saved → HBQ | skat | Row 27
✅ Saved → HBQ | skat | Row 28
✅ Saved → HBQ | skat | Row 29
✅ Saved → HBQ | skat | Row 30
✅ Saved → HBQ | skat | Row 31
✅ Saved → HBQ | skat | Row 32
✅ Saved → HBQ | skat | Row 33
✅ Saved → HBQ | skat | Row 34
✅ Saved → HBQ | skat | Row 35
✅ Saved → HBQ | skat | Row 36
✅ Saved → HBQ | skat | Row 37
✅ Saved → HBQ | skat | Row 38
✅ Saved → HBQ | skat | Row 39
✅ Saved → HBQ | skat | Row 40
✅ Saved → HBQ | skat | Row 41
✅ Saved → HBQ | skat | Row 42
✅ Saved → HBQ | skat | Row 43
✅ Saved → HBQ | skat | Row 44
✅ Saved → HBQ | skat | Row 45
✅ Saved → HBQ | skat | Row 46
✅ Saved → HBQ | skat | Row 47
✅ Saved → HBQ | skat | Row 48
✅ Saved → HBQ | skat | Row 49
✅ Saved → HBQ | skat | Row 50
✅ Saved → HBQ | skat | Row 51
✅ Saved → HBQ | skat | Row 52
✅ Saved → HBQ | skat | Row 53
✅ Saved → HBQ | skat | Row 54
✅ Saved → HBQ | skat | Row 55
✅ Saved → HBQ | skat | Row 56
✅ Saved → HBQ | skat | Row 57
✅ Saved → HBQ | skat | Row 58
✅ Saved → HBQ | skat | Row 59
✅ Saved → HBQ | skat | Row 60
✅ Saved → HBQ | skat | Row 61
✅ Saved → HBQ | skat | Row 62
✅ Saved → HBQ | skat | Row 64
✅ Saved → HBQ | skat | Row 65
✅ Saved → HBQ | skat | Row 66
✅ Saved → HBQ | skat | Row 67
✅ Saved → HBQ | skat | Row 68
✅ Saved → HBQ | skat | Row 69
✅ Saved → HBQ | skat | Row 70
✅ Saved → HBQ | skat | Row 71
✅ Saved → HBQ | skat | Row 72
✅ Saved → HBQ | skat | Row 73
✅ Saved → HBQ | skat | Row 74
✅ Saved → HBQ | skat | Row 75
✅ Saved → HBQ | skat | Row 76
✅ Saved → HBQ | skat | Row 77
✅ Saved → HBQ | skat | Row 78
✅ Saved → HBQ | skat | Row 80
✅ Saved → HBQ | skat | Row 81
✅ Saved → HBQ | skat | Row 82
✅ Saved → HBQ | skat | Row 83
✅ Saved → HBQ | skat | Row 84
✅ Saved → HBQ | skat | Row 85
✅ Saved → HBQ | skat | Row 86
✅ Saved → HBQ | skat | Row 87
✅ Saved → HBQ | skat | Row 88
✅ Saved → HBQ | skat | Row 89
✅ Saved → HBQ | skat | Row 93
✅ Saved → HBQ | skat | Row 95
✅ Saved → HBQ | skat | Row 96
✅ Saved → HBQ | skat | Row 97
✅ Saved → HBQ | skat | Row 98
✅ Saved → HBQ | skat | Row 100
✅ Saved → HBQ | skat | Row 101
✅ Saved → HBQ | skat | Row 102
✅ Saved → HBQ | skat | Row 103
✅ Saved → HBQ | skat | Row 104
✅ Saved → HBQ | skat | Row 105
✅ Saved → HBQ | skat | Row 108
✅ Saved → HBQ | skat | Row 109
✅ Saved → HBQ | skat | Row 110
✅ Saved → HBQ | skat | Row 111
✅ Saved → HBQ | skat | Row 114
✅ Saved → HBQ | skat | Row 115
✅ Saved → HBQ | skat | Row 116
✅ Saved → HBQ | skat | Row 117
✅ Saved → HBQ | skat | Row 118
✅ Saved → HBQ | skat | Row 119
✅ Saved → HBQ | skat | Row 120
✅ Saved → HBQ | skat | Row 121
✅ Saved → HBQ | skat | Row 122
✅ Saved → HBQ | skat | Row 123
✅ Saved → HBQ | skat | Row 124
✅ Saved → HBQ | skat | Row 125
✅ Saved → HBQ | skat | Row 126
✅ Saved → HBQ | skat | Row 127
✅ Saved → HBQ | skat | Row 128
✅ Saved → HBQ | skat | Row 129
✅ Saved → HBQ | skat | Row 130
✅ Saved → HBQ | skat | Row 132
✅ Saved → HBQ | skat | Row 133
✅ Saved → HBQ | skat | Row 134
✅ Saved → HBQ | skat | Row 135
✅ Saved → HBQ | skat | Row 136
✅ Saved → HBQ | skat | Row 137
✅ Saved → HBQ | skat | Row 138
✅ Saved → HBQ | skat | Row 139
✅ Saved → HBQ | skat | Row 140
✅ Saved → HBQ | skat | Row 141
✅ Saved → HBQ | skat | Row 142
✅ Saved → HBQ | skat | Row 143
✅ Saved → HBQ | skat | Row 144
✅ Saved → HBQ | skat | Row 145
✅ Saved → HBQ | skat | Row 146
✅ Saved → HBQ | skat | Row 147
✅ Saved → HBQ | skat | Row 148
✅ Saved → HBQ | skat | Row 149
✅ Saved → HBQ | skat | Row 150
✅ Saved → HBQ | skat | Row 151
✅ Saved → HBQ | skat | Row 152
✅ Saved → HBQ | skat | Row 153
✅ Saved → HBQ | skat | Row 154
✅ Saved → HBQ | skat | Row 155
✅ Saved → HBQ | skat | Row 156
✅ Saved → HBQ | skat | Row 157
✅ Saved → HBQ | skat | Row 158
✅ Saved → HBQ | skat | Row 159
✅ Saved → HBQ | skat | Row 160
✅ Saved → HBQ | skat | Row 161
✅ Saved → HBQ | skat | Row 162
✅ Saved → HBQ | skat | Row 163
✅ Saved → HBQ | skat | Row 164
✅ Saved → HBQ | skat | Row 165
✅ Saved → HBQ | Klootschießen | Row 0
✅ Saved → HBQ | Klootschießen | Row 1
✅ Saved → HBQ | Klootschießen | Row 2
✅ Saved → HBQ | Klootschießen | Row 3
✅ Saved → HBQ | Klootschießen | Row 4
✅ Saved → HBQ | Klootschießen | Row 5
✅ Saved → HBQ | Klootschießen | Row 6
✅ Saved → HBQ | Klootschießen | Row 7
✅ Saved → HBQ | Klootschießen | Row 8
✅ Saved → HBQ | Klootschießen | Row 9
✅ Saved → HBQ | Klootschießen | Row 10
✅ Saved → HBQ | Klootschießen | Row 11
✅ Saved → HBQ | Klootschießen | Row 12
✅ Saved → HBQ | Klootschießen | Row 13
✅ Saved → HBQ | Klootschießen | Row 14
✅ Saved → HBQ | Klootschießen | Row 15
✅ Saved → HBQ | Klootschießen | Row 16
✅ Saved → HBQ | Klootschießen | Row 17
✅ Saved → HBQ | Klootschießen | Row 18
✅ Saved → HBQ | Klootschießen | Row 19
✅ Saved → HBQ | Klootschießen | Row 20
✅ Saved → HBQ | Klootschießen | Row 21
✅ Saved → HBQ | Klootschießen | Row 22
✅ Saved → HBQ | Klootschießen | Row 23
✅ Saved → HBQ | Klootschießen | Row 24
✅ Saved → HBQ | Klootschießen | Row 25
✅ Saved → HBQ | Klootschießen | Row 26
✅ Saved → HBQ | Klootschießen | Row 27
✅ Saved → HBQ | Klootschießen | Row 28
✅ Saved → HBQ | Klootschießen | Row 29
✅ Saved → HBQ | Klootschießen | Row 30
✅ Saved → HBQ | Klootschießen | Row 31
✅ Saved → HBQ | Klootschießen | Row 32
✅ Saved → HBQ | Klootschießen | Row 33
✅ Saved → HBQ | Klootschießen | Row 34
✅ Saved → HBQ | Klootschießen | Row 35
✅ Saved → HBQ | Klootschießen | Row 36
✅ Saved → HBQ | Klootschießen | Row 37
✅ Saved → HBQ | Klootschießen | Row 38
✅ Saved → HBQ | Klootschießen | Row 39
✅ Saved → HBQ | Klootschießen | Row 40
✅ Saved → HBQ | Klootschießen | Row 41
✅ Saved → HBQ | Klootschießen | Row 42
✅ Saved → HBQ | Klootschießen | Row 43
✅ Saved → HBQ | Klootschießen | Row 44
✅ Saved → HBQ | Klootschießen | Row 45
✅ Saved → HBQ | Klootschießen | Row 46
✅ Saved → HBQ | Klootschießen | Row 47
✅ Saved → HBQ | Klootschießen | Row 48
✅ Saved → HBQ | Klootschießen | Row 49
✅ Saved → HBQ | Klootschießen | Row 50
✅ Saved → HBQ | Klootschießen | Row 51
✅ Saved → HBQ | Klootschießen | Row 52
✅ Saved → HBQ | Klootschießen | Row 53
✅ Saved → HBQ | Klootschießen | Row 54
✅ Saved → HBQ | Klootschießen | Row 55
✅ Saved → HBQ | Klootschießen | Row 56
✅ Saved → HBQ | Klootschießen | Row 57
✅ Saved → HBQ | Klootschießen | Row 58
✅ Saved → HBQ | Klootschießen | Row 59
✅ Saved → HBQ | Klootschießen | Row 60
✅ Saved → HBQ | Klootschießen | Row 61
✅ Saved → HBQ | Klootschießen | Row 62
✅ Saved → HBQ | Klootschießen | Row 63
✅ Saved → HBQ | Klootschießen | Row 64
✅ Saved → HBQ | Klootschießen | Row 65
✅ Saved → HBQ | Klootschießen | Row 66
✅ Saved → HBQ | Klootschießen | Row 67
✅ Saved → HBQ | Klootschießen | Row 68
✅ Saved → HBQ | Klootschießen | Row 69
✅ Saved → HBQ | Klootschießen | Row 70
✅ Saved → HBQ | Klootschießen | Row 71
✅ Saved → HBQ | Klootschießen | Row 72
✅ Saved → HBQ | Klootschießen | Row 73
✅ Saved → HBQ | Klootschießen | Row 74
✅ Saved → HBQ | Klootschießen | Row 75
✅ Saved → HBQ | Klootschießen | Row 76
✅ Saved → HBQ | Klootschießen | Row 77
✅ Saved → HBQ | Klootschießen | Row 78
✅ Saved → HBQ | Klootschießen | Row 79
✅ Saved → HBQ | Klootschießen | Row 80
✅ Saved → HBQ | Klootschießen | Row 81
✅ Saved → HBQ | Klootschießen | Row 82
✅ Saved → HBQ | Klootschießen | Row 83
✅ Saved → HBQ | Klootschießen | Row 84
✅ Saved → HBQ | Klootschießen | Row 85
✅ Saved → HBQ | Klootschießen | Row 86
✅ Saved → HBQ | Klootschießen | Row 87
✅ Saved → HBQ | Klootschießen | Row 88
✅ Saved → HBQ | Klootschießen | Row 89
✅ Saved → HBQ | Klootschießen | Row 90
✅ Saved → HBQ | Klootschießen | Row 91
✅ Saved → HBQ | Klootschießen | Row 92
✅ Saved → HBQ | Klootschießen | Row 93
✅ Saved → HBQ | Klootschießen | Row 94
✅ Saved → HBQ | Klootschießen | Row 95
✅ Saved → HBQ | Klootschießen | Row 96
✅ Saved → HBQ | Klootschießen | Row 97
✅ Saved → HBQ | Klootschießen | Row 98
✅ Saved → HBQ | Klootschießen | Row 99
✅ Saved → HBQ | Klootschießen | Row 100
✅ Saved → HBQ | Klootschießen | Row 101
✅ Saved → HBQ | Klootschießen | Row 102
✅ Saved → HBQ | Klootschießen | Row 103
✅ Saved → HBQ | Klootschießen | Row 104
✅ Saved → HBQ | Klootschießen | Row 105
✅ Saved → HBQ | Klootschießen | Row 106
✅ Saved → HBQ | Klootschießen | Row 107
✅ Saved → HBQ | Klootschießen | Row 108
✅ Saved → HBQ | Klootschießen | Row 109
✅ Saved → HBQ | Klootschießen | Row 110
✅ Saved → HBQ | Klootschießen | Row 111
✅ Saved → HBQ | Klootschießen | Row 112
✅ Saved → HBQ | Klootschießen | Row 113
✅ Saved → HBQ | Klootschießen | Row 114
✅ Saved → HBQ | Klootschießen | Row 115
✅ Saved → HBQ | Klootschießen | Row 116
✅ Saved → HBQ | Klootschießen | Row 117
✅ Saved → HBQ | Klootschießen | Row 118
✅ Saved → HBQ | Klootschießen | Row 119
✅ Saved → HBQ | Klootschießen | Row 120
✅ Saved → HBQ | Klootschießen | Row 121
✅ Saved → HBQ | Klootschießen | Row 122
✅ Saved → HBQ | Klootschießen | Row 123
✅ Saved → HBQ | Klootschießen | Row 124
✅ Saved → HBQ | Klootschießen | Row 125
✅ Saved → HBQ | Klootschießen | Row 126
✅ Saved → HBQ | Klootschießen | Row 127
✅ Saved → HBQ | Klootschießen | Row 128
✅ Saved → HBQ | Klootschießen | Row 129
✅ Saved → HBQ | Klootschießen | Row 130
✅ Saved → HBQ | Klootschießen | Row 131
✅ Saved → HBQ | Klootschießen | Row 132
✅ Saved → HBQ | Klootschießen | Row 133
✅ Saved → HBQ | Klootschießen | Row 134
✅ Saved → HBQ | Klootschießen | Row 135
✅ Saved → HBQ | Klootschießen | Row 136
✅ Saved → HBQ | Klootschießen | Row 137
✅ Saved → HBQ | Klootschießen | Row 138
✅ Saved → HBQ | Klootschießen | Row 139
✅ Saved → HBQ | Klootschießen | Row 140
✅ Saved → HBQ | Klootschießen | Row 141
✅ Saved → HBQ | Klootschießen | Row 142
✅ Saved → HBQ | Klootschießen | Row 143
✅ Saved → HBQ | Klootschießen | Row 144
✅ Saved → HBQ | Klootschießen | Row 145
✅ Saved → HBQ | Klootschießen | Row 146
✅ Saved → HBQ | Klootschießen | Row 147
✅ Saved → HBQ | Klootschießen | Row 148
✅ Saved → HBQ | Klootschießen | Row 149
✅ Saved → HBQ | Klootschießen | Row 150
✅ Saved → HBQ | Klootschießen | Row 151
✅ Saved → HBQ | Klootschießen | Row 152
✅ Saved → HBQ | Klootschießen | Row 153
✅ Saved → HBQ | Klootschießen | Row 154
✅ Saved → HBQ | Klootschießen | Row 155
✅ Saved → HBQ | Klootschießen | Row 156
✅ Saved → HBQ | Klootschießen | Row 157
✅ Saved → HBQ | Klootschießen | Row 158
✅ Saved → HBQ | Klootschießen | Row 159
✅ Saved → HBQ | Klootschießen | Row 160
✅ Saved → HBQ | Klootschießen | Row 161
✅ Saved → HBQ | Klootschießen | Row 162
✅ Saved → HBQ | Klootschießen | Row 163
✅ Saved → HBQ | Klootschießen | Row 164
Traceback (most recent call last):
  File "/DATA/rohan_kirti/miniconda3/envs/salesbot/lib/python3.11/site-packages/pandas/core/indexes/base.py", line 3812, in get_loc
    return self._engine.get_loc(casted_key)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "pandas/_libs/index.pyx", line 167, in pandas._libs.index.IndexEngine.get_loc
  File "pandas/_libs/index.pyx", line 196, in pandas._libs.index.IndexEngine.get_loc
  File "pandas/_libs/hashtable_class_helper.pxi", line 7088, in pandas._libs.hashtable.PyObjectHashTable.get_item
  File "pandas/_libs/hashtable_class_helper.pxi", line 7096, in pandas._libs.hashtable.PyObjectHashTable.get_item
KeyError: 'Options2'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/DATA/rohan_kirti/country/germany/HBQ/run.py", line 198, in <module>
    q, option, ans = row[COL_QUESTION], row[COL_OPTIONS], row[COL_ANSWER]
                                        ~~~^^^^^^^^^^^^^
  File "/DATA/rohan_kirti/miniconda3/envs/salesbot/lib/python3.11/site-packages/pandas/core/series.py", line 1130, in __getitem__
    return self._get_value(key)
           ^^^^^^^^^^^^^^^^^^^^
  File "/DATA/rohan_kirti/miniconda3/envs/salesbot/lib/python3.11/site-packages/pandas/core/series.py", line 1246, in _get_value
    loc = self.index.get_loc(label)
          ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/DATA/rohan_kirti/miniconda3/envs/salesbot/lib/python3.11/site-packages/pandas/core/indexes/base.py", line 3819, in get_loc
    raise KeyError(key) from err
KeyError: 'Options2'
