Started at: 09:18:10
['/DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx
✅ Saved → RBQ | Klootschießen | Row 145
✅ Saved → RBQ | Klootschießen | Row 146
✅ Saved → RBQ | Klootschießen | Row 147
✅ Saved → RBQ | Klootschießen | Row 149
✅ Saved → RBQ | Klootschießen | Row 150
✅ Saved → RBQ | Klootschießen | Row 151
✅ Saved → RBQ | Klootschießen | Row 152
✅ Saved → RBQ | Klootschießen | Row 153
✅ Saved → RBQ | Klootschießen | Row 154
✅ Saved → RBQ | Klootschießen | Row 155
✅ Saved → RBQ | Klootschießen | Row 156
✅ Saved → RBQ | Klootschießen | Row 158
✅ Saved → RBQ | Klootschießen | Row 159
✅ Saved → RBQ | Klootschießen | Row 160
✅ Saved → RBQ | Klootschießen | Row 161
✅ Saved → RBQ | Klootschießen | Row 162
✅ Saved → RBQ | Klootschießen | Row 163
✅ Saved → RBQ | Klootschießen | Row 164
✅ Saved → RBQ | Klootschießen | Row 165
✅ Saved → RBQ | Klootschießen | Row 167
✅ Saved → RBQ | Klootschießen | Row 168
✅ Saved → RBQ | Klootschießen | Row 170
✅ Saved → RBQ | Klootschießen | Row 171
✅ Saved → RBQ | Klootschießen | Row 172
✅ Saved → RBQ | Klootschießen | Row 173
✅ Saved → RBQ | Klootschießen | Row 174
✅ Saved → RBQ | Klootschießen | Row 175
✅ Saved → RBQ | Radball (Cycle Ball) | Row 0
✅ Saved → RBQ | Radball (Cycle Ball) | Row 1
✅ Saved → RBQ | Radball (Cycle Ball) | Row 2
✅ Saved → RBQ | Radball (Cycle Ball) | Row 3
✅ Saved → RBQ | Radball (Cycle Ball) | Row 4
✅ Saved → RBQ | Radball (Cycle Ball) | Row 5
✅ Saved → RBQ | Radball (Cycle Ball) | Row 6
✅ Saved → RBQ | Radball (Cycle Ball) | Row 7
✅ Saved → RBQ | Radball (Cycle Ball) | Row 8
✅ Saved → RBQ | Radball (Cycle Ball) | Row 9
✅ Saved → RBQ | Radball (Cycle Ball) | Row 10
✅ Saved → RBQ | Radball (Cycle Ball) | Row 11
✅ Saved → RBQ | Radball (Cycle Ball) | Row 12
✅ Saved → RBQ | Radball (Cycle Ball) | Row 13
✅ Saved → RBQ | Radball (Cycle Ball) | Row 14
✅ Saved → RBQ | Radball (Cycle Ball) | Row 15
✅ Saved → RBQ | Radball (Cycle Ball) | Row 16
✅ Saved → RBQ | Radball (Cycle Ball) | Row 17
✅ Saved → RBQ | Radball (Cycle Ball) | Row 18
✅ Saved → RBQ | Radball (Cycle Ball) | Row 19
✅ Saved → RBQ | Radball (Cycle Ball) | Row 20
✅ Saved → RBQ | Radball (Cycle Ball) | Row 21
✅ Saved → RBQ | Radball (Cycle Ball) | Row 22
✅ Saved → RBQ | Radball (Cycle Ball) | Row 23
✅ Saved → RBQ | Radball (Cycle Ball) | Row 24
✅ Saved → RBQ | Radball (Cycle Ball) | Row 25
✅ Saved → RBQ | Radball (Cycle Ball) | Row 26
✅ Saved → RBQ | Radball (Cycle Ball) | Row 27
✅ Saved → RBQ | Radball (Cycle Ball) | Row 28
✅ Saved → RBQ | Radball (Cycle Ball) | Row 29
✅ Saved → RBQ | Radball (Cycle Ball) | Row 30
✅ Saved → RBQ | Radball (Cycle Ball) | Row 31
✅ Saved → RBQ | Radball (Cycle Ball) | Row 32
✅ Saved → RBQ | Radball (Cycle Ball) | Row 33
✅ Saved → RBQ | Radball (Cycle Ball) | Row 34
✅ Saved → RBQ | Radball (Cycle Ball) | Row 35
✅ Saved → RBQ | Radball (Cycle Ball) | Row 36
✅ Saved → RBQ | Radball (Cycle Ball) | Row 37
✅ Saved → RBQ | Radball (Cycle Ball) | Row 38
✅ Saved → RBQ | Radball (Cycle Ball) | Row 39
✅ Saved → RBQ | Radball (Cycle Ball) | Row 40
✅ Saved → RBQ | Radball (Cycle Ball) | Row 41
✅ Saved → RBQ | Radball (Cycle Ball) | Row 42
✅ Saved → RBQ | Radball (Cycle Ball) | Row 43
✅ Saved → RBQ | Radball (Cycle Ball) | Row 44
✅ Saved → RBQ | Radball (Cycle Ball) | Row 45
✅ Saved → RBQ | Radball (Cycle Ball) | Row 46
✅ Saved → RBQ | Radball (Cycle Ball) | Row 47
✅ Saved → RBQ | Radball (Cycle Ball) | Row 48
✅ Saved → RBQ | Radball (Cycle Ball) | Row 49
✅ Saved → RBQ | Radball (Cycle Ball) | Row 50
✅ Saved → RBQ | Radball (Cycle Ball) | Row 51
✅ Saved → RBQ | Radball (Cycle Ball) | Row 52
✅ Saved → RBQ | Radball (Cycle Ball) | Row 53
✅ Saved → RBQ | Radball (Cycle Ball) | Row 54
✅ Saved → RBQ | Radball (Cycle Ball) | Row 55
✅ Saved → RBQ | Radball (Cycle Ball) | Row 56
✅ Saved → RBQ | Radball (Cycle Ball) | Row 57
✅ Saved → RBQ | Radball (Cycle Ball) | Row 58
✅ Saved → RBQ | Radball (Cycle Ball) | Row 59
✅ Saved → RBQ | Radball (Cycle Ball) | Row 60
