Started at: 09:50:59

📌 Processing: /DATA/rohan_kirti/country/sudan/HBQ/Sudan_HBQ.xlsx
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 44
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 45
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 46
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 47
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 48
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 49
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 50
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 51
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 52
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 53
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 54
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 55
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 56
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 57
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 58
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 59
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 60
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 61
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 62
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 63
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 64
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 65
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 66
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 67
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 68
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 69
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 70
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 71
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 72
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 73
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 74
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 75
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 76
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 77
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 78
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 79
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 80
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 81
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 82
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 83
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 84
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 85
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 86
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 87
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 88
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 89
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 90
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 91
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 92
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 93
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 94
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 95
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 96
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 97
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 98
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 99
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 100
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 101
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 102
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 103
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 104
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 105
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 106
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 107
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 108
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 109
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 110
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 111
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 112
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 113
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 114
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 115
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 116
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 117
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 118
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 119
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 120
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 121
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 122
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 123
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 124
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 125
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 126
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 127
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 128
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 129
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 130
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 131
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 132
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 133
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 134
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 135
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 136
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 137
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 138
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 139
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 140
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 141
✅ Saved → HBQ | Nubian_Stick_Fighting | Row 142

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/country/sudan/HBQ/Results_HBQ.csv
Ended at: 10:13:50
Total Duration: 0:22:51.600751
✅ Successfully created '/DATA/rohan_kirti/country/sudan/HBQ/Results_HBQ.xlsx'
